Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Blair TXL 7 #3,2024-03-06,0.0,0,0.0,0,0,
Branton #1,2024-03-06,0.0,0,0.0,0,0,
Davis Lease,2024-03-06,0.0,0,19.25,0,0,
JM Moore 178,2024-03-06,5.01,0,1.67,0,0,Venting gas 114 mcf
JM Moore 192,2024-03-06,15.03,0,140.0,0,0,C.t.
Joe #1,2024-03-06,0.0,0,0.0,0,0,Well has no unit
Kleimann #3,2024-03-06,0.0,0,0.0,0,0,
MCWF #1,2024-03-06,0.0,0,185.11,0,0,
Montemayor #1,2024-03-06,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-06,0.0,0,294.25,0,0,
Palm #1,2024-03-06,0.0,0,0.0,0,0,
Preston #1,2024-03-06,0.0,0,0.0,0,0,
Vermillion #1,2024-03-06,0.0,0,0.0,0,0,
White Marlin #1,2024-03-06,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-05,35.75,86,135.75,0,0,
Blair TXL 7 #2,2024-03-05,8.28,13,0.0,0,0,
Blair TXL 7 #3,2024-03-05,0.0,0,0.0,0,0,
Branton #1,2024-03-05,0.0,0,0.0,0,0,
Davis Lease,2024-03-05,0.0,0,19.25,0,0,
JM Moore 178,2024-03-05,5.01,0,0.0,0,0,Venting gas 110 mcf
JM Moore 192,2024-03-05,13.36,0,141.0,0,0,
Kleimann #3,2024-03-05,0.0,0,0.0,0,0,
MCWF #1,2024-03-05,0.0,0,198.22,0,0,
Montemayor #1,2024-03-05,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-05,0.0,0,11.0,0,0,Started well 19-1
Palm #1,2024-03-05,0.0,0,0.0,0,0,
Preston #1,2024-03-05,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-04,37.81,85,135.5,0,0,
Blair TXL 7 #2,2024-03-04,11.04,13,0.0,0,0,
Blair TXL 7 #3,2024-03-04,0.0,0,0.0,0,0,
Branton #1,2024-03-04,0.0,0,0.0,0,0,
Davis Lease,2024-03-04,0.0,0,39.0,0,0,
JM Moore 178,2024-03-04,5.01,0,1.67,0,0,Venting gas 114 mcf
JM Moore 192,2024-03-04,11.69,0,146.0,0,0,
Kleimann #3,2024-03-04,0.0,0,0.0,0,0,"Well shut in, no unit"
MCWF #1,2024-03-04,0.0,0,240.8,0,0,
Montemayor #1,2024-03-04,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-04,0.0,0,24.75,0,0,
Palm #1,2024-03-04,0.0,0,0.0,0,0,"Well shut in, no unit"
Preston #1,2024-03-04,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-03,38.5,87,141.0,0,0,
Blair TXL 7 #2,2024-03-03,11.04,13,0.0,0,0,
Blair TXL 7 #3,2024-03-03,0.0,0,0.0,0,0,Off for pumping schedule 
Branton #1,2024-03-03,0.0,0,0.0,0,0,
Davis Lease,2024-03-03,0.0,0,22.0,0,0,Circulated water off of oil tank gauge at 5’ 6”
JM Moore 178,2024-03-03,5.01,0,1.67,0,0,Venting gas 111 mcf
JM Moore 192,2024-03-03,13.36,0,142.0,0,0,
Kleimann #3,2024-03-03,0.0,0,0.0,0,0,
MCWF #1,2024-03-03,0.0,0,137.63,0,0,
Montemayor #1,2024-03-03,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-03,2.76,0,35.75,0,0,
Palm #1,2024-03-03,0.0,0,0.0,0,0,Well has no unit
Preston #1,2024-03-03,0.0,0,0.0,0,0,Well has no unit
Blair TXL 7 #1,2024-03-02,38.5,89,145.0,0,0,
Blair TXL 7 #2,2024-03-02,8.28,12,0.0,0,0,
