Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Mueller #1,2024-08-20,1.0,0.0,14.0,200,0,Venting gas
Pratka #1,2024-08-20,2.0,38.0,2.0,800,0,
CL Moore 12,2024-08-19,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-19,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-19,45.0,0.0,1112.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-08-19,8.0,0.0,127.0,50,50,
Mueller #1,2024-08-19,0.0,0.0,0.0,1500,0,Opened well
Pratka #1,2024-08-19,2.0,46.0,3.0,800,0,
CL Moore 12,2024-08-18,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-18,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-18,50.0,0.0,1091.0,50,50,192:  178: Venting 111 mcf
Lottie #1,2024-08-18,7.0,0.0,126.0,50,50,
Mueller #1,2024-08-18,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-18,2.0,47.0,2.0,800,0,
CL Moore 12,2024-08-17,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-17,0.0,0.0,0.0,1000,0,S.I
JM Moore,2024-08-17,48.0,0.0,1089.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-08-17,7.0,0.0,128.0,50,50,
Mueller #1,2024-08-17,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-17,2.0,45.0,3.0,800,0,
CL Moore 12,2024-08-16,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-16,2.0,0.0,20.0,1000,0,Swi
JM Moore,2024-08-16,52.0,0.0,905.0,50,50,192:  178: Venting gas 113 mcf
Lottie #1,2024-08-16,7.0,0.0,126.0,50,50,
Mueller #1,2024-08-16,0.0,0.0,0.0,1500,0,S.I.
