API14,Well Name,Well Number
42157321960000,"MOORE, J. M. ET AL",225
42157321900000,CROMER UNIT,2
42157321840000,"DYER ""E"" UNIT",6
42157321730000,DYER SWD,2
42157321700000,CROMER UNIT,1
42157321550001,"MOORE, J. M. ET AL",219
42157321550000,"MOORE, J. M. ET AL",219
42157321500000,LOTTIE,1
42157321230000,"DYER ""D""",5
42157320740000,"AMERICAN BRECO ""B""",4
42157320630000,BRECO-DYER,1
42157320390000,AMERICAN BRECO,2
42157320360000,"DYER ""A""",2
42157320350000,DYER,1
42157318800001,"MOORE, J. M. ET AL",218
42157318800000,"MOORE, J. M. ET AL",218
42157318440001,"MOORE, J. M., ETAL",215
42157318440000,"MOORE, J. M., ETAL",215
42157318190000,"MOORE, J. M., ETAL",216
42157318040001,"MOORE, J.M. ET AL",206
42157318040000,"MOORE, J.M. ET AL",206
42157317800000,"MOORE, J.M. ET AL",213
42157317760001,"MOORE, J. M. ET AL",214
42157317760000,"MOORE, J. M. ET AL",214
42157317560100,"MOORE, J. M. ET AL",210
42157317560006,"MOORE, J. M. ET AL",210
42157317560005,"MOORE, J. M. ET AL",210
42157317560004,"MOORE, J. M. ET AL",210
42157317560003,"MOORE, J. M. ET AL",210
42157317560002,"MOORE, J. M. ET AL",210
42157317560001,"MOORE, J. M. ET AL",210
42157317560000,"MOORE, J. M. ET AL",210
42157317530001,"MOORE, J. M. ET AL",207
42157317530000,"MOORE, J. M. ET AL",207
42157317320004,"MOORE, J. M. ET AL",209
42157317320003,"MOORE, J. M. ET AL",209
42157317320002,"MOORE, J. M. ET AL",209
42157317320001,"MOORE, J. M. ET AL",209
42157317320000,"MOORE, J. M. ET AL",209
42157316300000,MOORE,13
42157316280001,"MOORE, J. M. ET AL",208ST
42157316280000,"MOORE, J. M. ET AL",208ST
42157316110002,"MOORE, J. M. ET AL",204
42157316110001,"MOORE, J. M. ET AL",204
42157316110000,"MOORE, J. M. ET AL",204
42157316090004,"MOORE, J. M. ET AL",203
42157316090003,"MOORE, J. M. ET AL",203
42157316090002,"MOORE, J. M. ET AL",203
42157316090001,"MOORE, J. M. ET AL",203
42157316090000,"MOORE, J. M. ET AL",203
42157316020000,"MOORE, J. M. ET AL",200
42157315770001,"MOORE, J. M., ETAL",202 L
42157315770000,"MOORE, J. M., ETAL",202 L
42157315760001,"MOORE, J. M. ET AL",201
42157315760000,"MOORE, J. M. ET AL",201
42157315450000,"MOORE, J. M. ETAL",199
42157315430002,"MOORE, J. M. ET AL",198
42157315430001,"MOORE, J. M. ET AL",198
42157315430000,"MOORE, J. M. ET AL",198
42157315340000,"MOORE, J.M. ETAL",197
42157315260001,"MOORE, J.M.",196
42157315260000,"MOORE, J.M.",196
42157315220002,"MOORE, J. M. ET AL",195
42157315220001,"MOORE, J. M. ET AL",195
42157315220000,"MOORE, J. M. ET AL",195
42157315080005,"MOORE, J. M. ET AL",193
42157315080004,"MOORE, J. M. ET AL",193
42157315080003,"MOORE, J. M. ET AL",193
42157315080002,"MOORE, J. M. ET AL",193
42157315080001,"MOORE, J. M. ET AL",193
42157315080000,"MOORE, J. M. ET AL",193
42157315070000,"MOORE, J.M.",194
42157314680000,"MOORE, J.M.",192
42157314530001,"MOORE, J. M.",189
42157314530000,"MOORE, J. M.",189
42157314510000,"MOORE, J. M. ET AL",190
42157314500003,"MOORE, J. M. ET AL",191
42157314500002,"MOORE, J. M. ET AL",191
42157314500001,"MOORE, J. M. ET AL",191
42157314500000,"MOORE, J. M. ET AL",191
42157314180000,"MOORE, J. M., ETAL",187
42157313950002,MOORE,12 U
42157313950001,MOORE,12 U
42157313950000,MOORE,12 U
42157313870001,MOORE,11
42157313870000,MOORE,11
42157313730000,MOORE,9C
42157313680001,MOORE,10
42157313680000,MOORE,10
42157313500000,MOORE,8
42157313080001,MOORE,7
42157313080000,MOORE,7
42157312990000,MOORE,6
42157312820000,MOORE,5
42157312810000,MOORE,4
42157312780000,MOORE,3 T
42157312520000,MOORE,2
42157312000000,MOORE,1
42157302470000,"MOORE, J. M. ET AL",184
42157302010000,"MOORE, J. M., ETAL",182
42157301990000,"MOORE, J. M., ETAL",181
42157301980000,"MOORE, J. M., ETAL",180
42157301760000,"MOORE, J. M. ET AL",178
42157300680000,"MOORE, J. M. ET AL",177
42157300540000,"MOORE, J. M., ETAL",175 L
42157300530000,"MOORE, J. M., ETAL",176
42157300060001,"MOORE, J. M. ET AL",174
42157300060000,"MOORE, J. M. ET AL",174
42157030240000,"MOORE, J. M. ET AL",169
42157030220000,"MOORE, J. M. ET AL",168
42157030120000,"MOORE, J. M. ET AL",166
42157030110100,"MOORE, J. M. ET AL",167
42157030110000,"MOORE, J. M. ET AL",167
42157030090000,"MOORE, J. M., ETAL",163
42157029660000,"MOORE, J. M. ETAL",159
42157029650001,"MOORE, J. M., ETAL",158
42157029650000,"MOORE, J. M., ETAL",158
42157029620001,"MOORE, J. M., ETAL",155
42157029620000,"MOORE, J. M., ETAL",155
42157029570000,"MOORE, J. M., ETAL",157 D
42157029490000,"MOORE, J. M. ET AL",114
42157029410000,"MOORE, J. M., ETAL",153
42157029050000,"MOORE, J. M., ETAL",152
42157029040000,"MOORE, J. M., ETAL",151
42157028240000,"MOORE, J. M., ETAL",150 U
42157028230000,"MOORE, J. M., ETAL",149 U
42157027990000,"MOORE, J. M., ET AL",66
42157012790000,"MOORE, J. M. ET AL",144
42157012760000,"MOORE, J. M. ET AL",141
42157012750000,"MOORE, J. M. ET AL",140
42157012740000,"MOORE, J. M. ET AL",139
42157012730000,"MOORE, J. M. ET AL",138
42157012700000,"MOORE, J. M. ET AL",135
42157012690001,"MOORE, J. M. ET AL",134
