Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
04/24/2024,01:26:50 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.79,110.37,99,,,0,,0.1,31.64
04/24/2024,01:28:14 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,265,1116,,,,
04/24/2024,02:33:56 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,251,345,,,,
04/24/2024,02:37:15 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.55,106.57,293,,,280,,91.0,95.32
04/25/2024,10:42:56 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.27,101.75,107,,,82,,34.7,45.49
04/25/2024,10:44:56 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,332,398,,,,
04/25/2024,10:55:12 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,4.97,108.00,138,,,116,,51.8,61.55
04/25/2024,10:57:01 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,261,313,,,,
05/01/2024,12:09:39 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,920,1094,,,,
05/01/2024,12:32:38 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,804,970,,,,
05/01/2024,12:37:03 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,5.90,104.48,163,,,152,,95.2,102.45
05/22/2024,01:29:21 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,6.23,111.75,198,,,188,,103.0,108.41
05/22/2024,01:30:44 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,1023,1129,,,,
06/12/2024,02:01:52 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,7.31,115.06,211,,,202,,105.2,110.13
06/12/2024,02:03:44 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,305,1189,,,,
07/24/2024,10:54:58 AM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,6.73,110.47,179,,,168,,94.6,101.30
07/24/2024,10:58:01 AM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,10,43,,,,
07/24/2024,11:00:39 AM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,161,680,,,,
08/22/2024,04:47:19 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,7.52,113.04,167,,,155,,78.8,84.54
08/22/2024,04:49:31 PM,Bruce Weaver #2 RE,6348,07/18/2023,C-640-305-168,,,,23,87,,,,
04/02/2024,03:05:34 PM,Burns Ranch #2,5385,12/31/1969,,,,,,,,,,
