well,id,run_ticket_number,date,date_string,updated_at,type,total
JIC #1,1974698.0,2932881,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,OIL,188.0
JIC #1,1973048.0,,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,OIL,55.11
JIC #1,1973884.0,13169,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,130.0
JIC #1,1973885.0,2932901,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,OIL,190.0
JIC #1,1973049.0,2932891,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,191.0
JIC #1,1970467.0,014150,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,WATER,130.0
JIC #1,1969475.0,2913671,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,OIL,190.0
JIC #1,1969476.0,,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,OIL,63.46
JIC #1,1968353.0,13980,1703829600.0,2023-12-29,1970-01-01 00:00:01.703829600,WATER,130.0
JIC #1,1961690.0,,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,70.14
JIC #1,1961691.0,2897941,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,190.0
JIC #1,1960583.0,blackgold,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,WATER,120.0
JIC #1,1958449.0,,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,OIL,76.82
JIC #1,1958450.0,2886721,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,OIL,190.0
JIC #1,1954816.0,14263,1702706400.0,2023-12-16,1970-01-01 00:00:01.702706400,WATER,120.0
JIC #1,1954186.0,14259,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,WATER,120.0
JIC #1,1948518.0,,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,OIL,88.51
JIC #1,1948517.0,2865841,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,191.0
JIC #1,1946623.0,12278,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,120.0
JIC Buda #1,1969477.0,2920871,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,OIL,190.0
JIC Buda #1,1960584.0,2886731,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,OIL,190.1
JIC Buda #1,1957268.0,14273,1702879200.0,2023-12-18,1970-01-01 00:00:01.702879200,WATER,120.0
JIC Buda #1,1950122.0,2865851,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,OIL,190.0
JIC Buda #1,1946624.0,12279,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,120.0
JIC Buda #1,1945586.0,2856761,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,190.0
JJ #1,1974649.0,013763,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,WATER,130.0
JJ #1,1973168.0,013162,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,130.0
JJ #1,1971304.0,blackgold,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,130.0
JJ #1,1970025.0,014112,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,WATER,120.0
JJ #1,1969235.0,014108,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,WATER,130.0
JJ #1,1967565.0,014987,1703829600.0,2023-12-29,1970-01-01 00:00:01.703829600,WATER,130.0
JJ #1,1960538.0,014936,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,WATER,130.0
JJ #1,1959441.0,014980,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,WATER,130.0
JJ #1,1958473.0,014977,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,WATER,120.0
JJ #1,1953351.0,12097,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,WATER,130.0
JJ #1,1952185.0,014896,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,WATER,130.0
