,id,name,type,capacity,multiplier,created_at,updated_at
1056,6799,GB 1 Oil 1,OIL/WATER,210,1.16,1449115731,1721764914
1057,6937,GF 1 Oil 1,OIL/WATER,436,2.27,1449244470,1721764915
1058,6938,GF 1 Oil 2,OIL/WATER,436,2.27,1449244470,1721764915
1059,6939,GF 1 Oil 3,OIL/WATER,436,2.27,1449244470,1721764915
1060,6940,GF 1 Water 1,WATER,300,1.67,1449244470,1721764915
1061,6941,GF 1 Water 2,WATER,210,1.16,1449244470,1721764915
1062,5047,Gil 1 Water,WATER,200,1.67,1440777542,1748368681
1063,32077,Gil 1 Water Remote,WATER,200,1.67,1612934523,1722972392
1064,6807,Glaze 1 Water 1,WATER,300,1.67,1449169665,1721764914
1065,6808,Glaze 1 Water 2,WATER,210,1.16,1449169665,1721764914
1066,5182,Grissom 1 Water,WATER,200,1.67,1440782727,1748368681
1067,5033,Haby #1 263368,OIL,400,1.67,1440777104,1721764914
1068,5038,Haby #1 263369,OIL,400,1.67,1440777216,1721764914
1069,5034,Haby 1 Water,WATER,200,1.67,1440777104,1721764914
1070,7043,Harrison 1H Water 1,WATER,300,1.67,1449266081,1748345052
1071,7047,Harrison 2H Water 1,WATER,300,1.67,1449266155,1748345053
1072,7100,Hayes 1 Water,WATER,300,1.67,1449271879,1748345056
1073,7103,Hayes 2 Oil 3,OIL/WATER,436,2.27,1449271979,1748345056
1074,7104,Hayes 2 Water 1,WATER,300,1.67,1449271979,1748345056
1075,16304,Heitz 1 Remote Water,WATER,400,1.67,1524668734,1721764916
1076,16170,Heitz 1 Water 1,WATER,400,1.67,1524007363,1721764916
1077,16171,Heitz 1 Water 2,WATER,400,1.67,1524007363,1721764916
1078,16172,Heitz 1 Water 3,WATER,400,1.67,1524007363,1721764916
1079,8336,Henry 24 1 Water,WATER,500,2.75,1461077977,1748314077
1080,7050,Herbich 1H Water 1,WATER,300,1.67,1449266251,1748345053
1081,7053,Herbich 2H Water,WATER,210,1.67,1449266305,1748345053
1082,6811,Hill 1 Water 1,WATER,200,1.67,1449169781,1721764914
1083,6943,Hilmar 2 Water 1,WATER,200,1.67,1449244520,1721764915
1084,5054,Huber Water,WATER,210,1.17,1440778201,1721764914
1085,8333,Hwkeye 30 St 1 Water,WATER,300,1.68,1461077837,1748314077
1086,7107,Isbell 1 Oil 3,OIL/WATER,436,2.27,1449272113,1748345057
1087,7108,Isbell 1 Water 1,WATER,300,1.67,1449272115,1748345057
1088,29190,J Beeler R New Oil,OIL/WATER,400,1.67,1594183304,1736013957
1089,29191,J Beeler R New Water,OIL/WATER,400,1.67,1594183304,1734468636
1090,18532,J Beeler Remote,WATER,400,1.67,1545157558,1734468636
1091,18200,J Beeler Water 1,WATER,400,1.67,1542810948,1748379031
1092,8252,Jack 1 Water,WATER,500,2.75,1461006391,1479163701
1093,7056,Jam 1 Water 1,WATER,210,1.67,1449266358,1748345057
1094,5109,Jessica Water,WATER,210,1.17,1440779367,1748277858
1095,15264,Jessica water remote,WATER,210,1.17,1522355531,1722972391
1096,40983,JIC Buda 1,OIL,400,1.67,1675873264,1748295448
1097,40984,JIC Buda 2,OIL,400,1.67,1675873264,1748295448
1098,40985,JIC Buda 3,OIL,400,1.67,1675873264,1748295448
1099,40986,JIC Buda 4,OIL,400,1.67,1675873264,1748295448
1100,40987,JIC Buda Water 1,WATER,400,1.67,1675873264,1748295448
1101,34418,JIC Oil 1,OIL,500,1.67,1634308215,1748295448
1102,34419,JIC Oil 2,OIL,500,1.67,1634308215,1748295448
